gene_id	gene_type	MSC5_1_0d_CGATGT.counts	MSC5_2_0d_AGTCAA.counts	MSC5_1_1d_TGACCA.counts	MSC5_2_1d_AGTTCC.counts	MSC5_1_3d_ACAGTG.counts	MSC5_2_3d_ATGTCA.counts	MSC5_1_7d_AGTCAA.counts	MSC5_2_7d_GTCCGC.counts	MSC5_1_14d_AGTTCC.counts	MSC5_2_14d_GTGAAA.counts	MSC6_1_0d_GCCAAT.counts	MSC6_2_0d_CCGTCC.counts	MSC6_1_1d_CAGATC.counts	MSC6_2_1d_GTCCGC.counts	MSC6_1_3d_CTTGTA.counts	MSC6_2_3d_GTGAAA.counts	MSC6_1_7d_ATGTCA.counts	MSC6_2_7d_CGATGT.counts	MSC6_1_14d_CCGTCC.counts	MSC6_2_14d_TGACCA.counts	gene_type.y
ENSG00000283907.2	  lncRNA	0	0	2	0	0	0	0	1	4	1	0	1	4	2	1	3	1	0	2	9	lncRNA
ENSG00000285557.1	  lncRNA	0	0	1	0	2	0	3	0	14	2	1	0	3	8	0	1	4	2	10	42	lncRNA
ENSG00000285571.1	  lncRNA	0	0	2	10	1	4	0	3	0	1	0	0	3	6	0	4	0	1	4	12	lncRNA
ENSG00000285703.1	  lncRNA	66	49	4	2	967	1332	1341	903	29	9	66	72	10	21	579	782	501	749	14	40	lncRNA
ENSG00000285756.2	  lncRNA	336	345	242	279	175	265	129	131	160	205	505	637	295	309	139	176	220	337	300	567	lncRNA
ENSG00000286652.1	  lncRNA	1	6	2	1	3	3	8	11	14	3	1	12	12	30	4	14	17	22	18	84	lncRNA
ENSG00000286749.1	  lncRNA	0	0	0	0	0	0	4	1	15	4	0	1	11	34	2	3	18	7	13	72	lncRNA
ENSG00000287050.1	  lncRNA	0	0	0	0	4	2	2	16	17	6	0	0	11	23	4	5	19	8	10	65	lncRNA
ENSG00000287264.1	  lncRNA	0	0	0	2	1	0	13	6	13	2	0	5	4	21	5	2	10	9	17	66	lncRNA
ENSG00000287279.1	  lncRNA	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	lncRNA
ENSG00000287804.3	  lncRNA	0	0	0	1	1	0	1	2	11	1	0	1	9	29	2	3	13	5	17	85	lncRNA
ENSG00000287931.1	  lncRNA	0	1	6	8	16	17	15	18	6	4	3	2	17	17	20	35	19	15	8	36	lncRNA
